field_1,id,latitude,longitude,place_town,place_coun,kc_af1,kc_am1,kc_pm1,pc_af1,pc_am1,pc_pm1,po_af1,po_am1,po_pm1,tac_af1,tac_am1,tac_pm1
"143","68646417",48.465253333299998,-123.315911666700003,Oak Bay,Capital,,,,,,,,,,,,
"144","68658537",49.290833333300000,-123.049166666700003,,Greater Vancouver,,,,,,,,,,,,
"145","68658762",49.292087554699997,-123.050697326399998,,Greater Vancouver,,,,,,,,,,,,
"146","68658879",49.291820526099997,-123.050094604400002,,Greater Vancouver,,,,,,,,,,,,
"147","68699666",49.315891265799998,-123.007492065299999,,Greater Vancouver,,,,,,,,,,,,
"148","68699838",49.319904327200000,-123.037277221699995,,Greater Vancouver,,,,,,,,,,,,
"149","68699970",49.318229338800002,-123.010710105300006,,Greater Vancouver,,,,,,,,,,,,
"150","68700424",49.316666666700002,-123.010555555600007,,Greater Vancouver,,,,,,,,,,,,
"151","68710615",48.747609470000000,-123.183615770000003,,Capital,,,,,,,,,,,,
"152","68710668",48.747472180000003,-123.183476260000006,,Capital,,,,,,,,,,,,
"153","68729584",47.378880399700002,-121.973003300000002,,King,89.823936462402330,55.641056060791016,82.356178283691406,,,,,,,,,
"154","68730344",47.450698000000003,-122.073258999999993,East Renton Highlands City Limits,King,90.938201904296875,54.492092132568359,81.627227783203125,,,,,,,,,
"155","68737226",47.422531800000002,-122.073724400000003,,King,90.017570495605469,55.471248626708984,80.138740539550781,,,,,,,,,
"156","68742200",49.313472747799999,-122.998916625800007,,Greater Vancouver,,,,,,,,,,,,
"157","68742288",49.332973480000000,-123.043846130299997,,Greater Vancouver,,,,,,,,,,,,
"158","68742508",49.333293914700000,-123.044021606399994,,Greater Vancouver,,,,,,,,,,,,
"159","68745750",47.636366666699999,-122.306861666700001,,King,86.908088684082031,59.718421936035163,83.218971252441406,,,,,,,,,
"160","68746053",47.635886666700003,-122.307045000000002,,King,87.481285095214844,59.298992156982422,83.462318420410156,,,,,,,,,
"161","68769712",47.636803333300001,-122.306763333299997,,King,85.806137084960938,60.129776000976562,83.059288024902330,,,,,,,,,
"162","68770643",47.634613333300003,-122.306083333299995,,King,88.724906921386719,59.501499176025391,83.758102416992188,,,,,,,,,
"163","68782040",49.132950000000001,-123.953980000000001,,Nanaimo,,,,,,,,,,,,
"164","68782322",49.139477833299999,-123.948241666700000,,Nanaimo,,,,,,,,,,,,
"165","68824430",48.461997345599997,-123.327141520699996,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"166","68826674",48.462035871600001,-123.327032641200006,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"167","68828161",48.460970658000001,-123.327495743699998,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"168","68870055",47.741838719999997,-122.138168690000001,,King,89.871437072753906,56.154243469238281,83.839492797851562,,,,,,,,,
"169","68887396",49.323680877500003,-123.099769592200005,,Greater Vancouver,,,,,,,,,,,,
"170","68937551",47.619858000000001,-122.293119000000004,,King,88.839332580566406,62.123256683349609,85.242935180664062,,,,,,,,,
"171","68982233",49.210277777800002,-123.144444444399994,,Greater Vancouver,,,,,,,,,,,,
"172","68982848",45.478246666700002,-122.672203333300004,Portland,Multnomah,,,,,,,32.537014007568359,16.878820419311523,29.709827423095703,,,
"173","68983264",49.209934234400002,-123.145034789999997,,Greater Vancouver,,,,,,,,,,,,
"174","68985916",49.212432861099998,-123.147567748900002,,Greater Vancouver,,,,,,,,,,,,
"175","68986033",49.213073730300003,-123.141693114999995,,Greater Vancouver,,,,,,,,,,,,
"176","68987311",49.207863333299997,-124.041152833300004,,Nanaimo,,,,,,,,,,,,
"177","69031450",48.459205036199997,-123.335831034600005,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"178","69079934",47.670621578599999,-122.309722742199995,,King,88.206878662109375,61.205223083496094,84.105125427246094,,,,,,,,,
"179","69100155",47.679502133500002,-122.393615437199998,,King,82.891830444335938,58.767879486083984,80.961532592773438,,,,,,,,,
"180","69100473",47.679485106000001,-122.392288511700002,,King,82.864990234375014,58.868534088134766,80.904159545898438,,,,,,,,,
"181","69100576",47.679533134300002,-122.391857849499999,,King,82.807388305664062,58.918483734130859,80.883094787597670,,,,,,,,,
"182","69120460",47.625869999999999,-122.294113333300004,,King,87.808853149414062,60.362888336181641,84.362609863281250,,,,,,,,,
"183","69162815",48.461531250400000,-123.318899970900006,Oak Bay,Capital,,,,,,,,,,,,
"184","69178256",49.304153442199997,-122.961105346699995,,Greater Vancouver,,,,,,,,,,,,
"185","69232120",48.461625978400001,-123.341379124300005,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"186","69232770",49.315906524399999,-123.006256103300004,,Greater Vancouver,,,,,,,,,,,,
"187","69232973",49.308166503899997,-123.003814697199999,,Greater Vancouver,,,,,,,,,,,,
"188","69236663",47.370091666699999,-122.320305000000005,Des Moines City Limits,King,89.682868957519531,60.489963531494141,85.789314270019531,,,,,,,,,
"189","69267891",49.188709258899998,-122.795463561899993,,Greater Vancouver,,,,,,,,,,,,
"190","69268074",49.190013885299997,-122.793884277199993,,Greater Vancouver,,,,,,,,,,,,
"191","69268876",49.207675933600001,-122.769752502200006,,Greater Vancouver,,,,,,,,,,,,
"192","69269086",49.205444335800003,-122.764717101900004,,Greater Vancouver,,,,,,,,,,,,
"193","69269145",49.206027984400002,-122.776603698599999,,Greater Vancouver,,,,,,,,,,,,
"194","69377380",46.959663333300000,-123.101966666699994,,Thurston,,,,,,,,,,,,
"195","69382016",48.815774540000000,-123.304679879999995,,Capital,,,,,,,,,,,,
"196","69438855",47.566203333300002,-122.307441666700001,,King,90.241210937500000,60.363708496093750,87.122695922851562,,,,,,,,,
"197","69463782",47.712303166700003,-122.372599972200007,,King,89.639457702636719,56.587867736816406,82.635688781738281,,,,,,,,,
"198","69478668",49.326263427500002,-123.017105102499997,,Greater Vancouver,,,,,,,,,,,,
"199","69534281",47.631695000000001,-122.296303333300003,,King,89.740928649902330,57.905445098876953,83.233535766601562,,,,,,,,,
"200","69595055",49.315742492500000,-123.101837158099997,,Greater Vancouver,,,,,,,,,,,,
"201","69595290",49.327594756899998,-123.086318969700002,,Greater Vancouver,,,,,,,,,,,,
"202","69595515",49.327434539700000,-123.073554992499993,,Greater Vancouver,,,,,,,,,,,,
"203","69689185",49.309135436900000,-122.991149902199993,,Greater Vancouver,,,,,,,,,,,,
"204","69721399",49.286823272500001,-122.952163696100001,,Greater Vancouver,,,,,,,,,,,,
"205","69721567",49.286914825300002,-122.980934143100001,,Greater Vancouver,,,,,,,,,,,,
"206","69770286",49.317813873100000,-122.944740295299994,,Greater Vancouver,,,,,,,,,,,,
"207","69784473",49.240402221700002,-122.959434509199994,,Greater Vancouver,,,,,,,,,,,,
"208","69964682",47.219850000000001,-122.396033333299997,Tacoma,Pierce,,,,,,,,,,31.229837417602539,15.924743652343750,29.852577209472656
"209","69964977",47.171992437100002,-122.314267366199999,"Puyallup, WA",Pierce,,,,82.599998474121094,57.099998474121094,78.400001525878906,,,,31.108526229858398,15.811456680297852,27.663909912109375
"210","69965459",47.179558333300001,-122.320563333300001,"Puyallup, WA",Pierce,,,,83.400001525878906,57.099998474121094,79.300003051757812,,,,31.086889266967773,15.832716941833496,27.576976776123047
"211","69971033",47.754983333299997,-122.362633333299996,,King,86.211799621582031,58.545333862304688,82.546257019042983,,,,,,,,,
"212","69971407",47.747691310900002,-122.360882423199996,,King,90.308662414550781,59.547313690185547,87.226280212402330,,,,,,,,,
"213","69972018",47.753895000000000,-122.362196666700001,,King,87.483123779296875,58.775684356689453,82.954582214355469,,,,,,,,,
"214","70014534",47.489534366400001,-122.473370432899998,,King,,,,,,,,,,,,
"215","70014877",47.489842705999997,-122.472712285800000,,King,,,,,,,,,,,,
"216","70015042",47.489472743500002,-122.471136823300000,,King,,,,,,,,,,,,
"217","70015240",47.489217390000000,-122.470829159999994,,King,,,,,,,,,,,,
"218","70015410",47.489152847299998,-122.470806241000005,,King,,,,,,,,,,,,
"219","70025028",47.567633333300002,-122.094200000000001,Issaquah City Limits,King,88.817726135253906,59.953861236572266,84.900520324707017,,,,,,,,,
"220","70046682",47.377664520000003,-122.058533670000003,,King,89.552619934082031,55.902050018310547,81.803894042968750,,,,,,,,,
"221","70064801",45.478079999999999,-122.653663333300003,Portland,Multnomah,,,,,,,31.448518753051754,16.167366027832031,29.321477890014648,,,
"222","70100910",48.461783709700001,-123.345951333700000,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"223","70115506",48.445844444400002,-123.405533333299999,,Capital,,,,,,,,,,,,
"224","70115701",48.446294444400003,-123.406874999999999,,Capital,,,,,,,,,,,,
"225","70115719",48.446447222200000,-123.407144444400004,,Capital,,,,,,,,,,,,
"226","70115736",48.446447222200000,-123.407063888899998,,Capital,,,,,,,,,,,,
"227","70133946",45.482436279100000,-122.715794853899993,Portland,Multnomah,,,,,,,30.470251083374023,14.976892471313477,27.209440231323246,,,
"228","70145725",49.013893299700001,-122.657184999699993,,Greater Vancouver,,,,,,,,,,,,
"229","70155662",49.032901400000000,-122.686564300000001,,Greater Vancouver,,,,,,,,,,,,
"230","70155782",49.032425199700000,-122.686740400000005,,Greater Vancouver,,,,,,,,,,,,
"231","70156012",49.037270200000002,-122.685674399700005,,Greater Vancouver,,,,,,,,,,,,
"232","70156131",49.037495100000001,-122.685577600000002,,Greater Vancouver,,,,,,,,,,,,
"233","70156277",49.037921900000001,-122.686332699700003,,Greater Vancouver,,,,,,,,,,,,
"234","70156394",49.035675400000002,-122.684178000000003,,Greater Vancouver,,,,,,,,,,,,
"235","70158471",49.035713000000001,-122.684757099699993,,Greater Vancouver,,,,,,,,,,,,
"236","70173063",46.744999999999997,-116.990285999999998,,Latah,,,,,,,,,,,,
"237","70173315",46.744999999999997,-116.990285999999998,,Latah,,,,,,,,,,,,
"238","70209008",47.712156972199999,-122.370574027800004,,King,89.579368591308594,56.477905273437507,81.357177734375014,,,,,,,,,
"239","70261548",49.163780500000001,-124.045775000000006,,Nanaimo,,,,,,,,,,,,
"240","70271934",48.494050065099998,-121.547377836099997,,Skagit,,,,,,,,,,,,
"241","70272155",48.493887540000003,-121.547040632100007,,Skagit,,,,,,,,,,,,
"242","70284424",45.851691174400003,-122.742836801400003,,Clark,,,,,,,,,,,,
"243","70287353",48.459486111099999,-123.333438888900005,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"244","70287841",49.162466666699999,-124.034661166700005,,Nanaimo,,,,,,,,,,,,
"245","70328851",48.770494900000003,-122.355302280000004,,Whatcom,,,,,,,,,,,,
"246","70328892",48.770531960000000,-122.355326270000006,,Whatcom,,,,,,,,,,,,
"247","70346309",48.586286581099998,-123.426707228599994,,Capital,,,,,,,,,,,,
"248","70346863",48.585227737200000,-123.426970504200000,,Capital,,,,,,,,,,,,
"249","70347039",48.585062655599998,-123.426238512599994,,Capital,,,,,,,,,,,,
"250","70347299",48.584762751100001,-123.425984541000005,,Capital,,,,,,,,,,,,
"251","70347495",48.584785466100001,-123.426054026900005,,Capital,,,,,,,,,,,,
"252","70347646",48.582433999999999,-123.426837000000006,,Capital,,,,,,,,,,,,
"253","70378160",47.866675000000001,-121.671395000000004,,Snohomish,,,,,,,,,,,,
"254","70378415",47.873578333300003,-121.651619999999994,,Snohomish,,,,,,,,,,,,
"255","70380081",45.490310277799999,-122.748134722200007,,Washington,,,,,,,,,,,,
"256","70453730",47.641442540000000,-117.465936400000004,,Spokane,,,,,,,,,,,,
"257","70475459",47.288849800000001,-122.276391009999998,,King,90.842536926269531,57.447296142578125,86.036315917968750,,,,,,,,,
"258","70478984",49.326400756699996,-122.949447631699996,,Greater Vancouver,,,,,,,,,,,,
"259","70523478",47.466102694400000,-122.144622583300006,Renton City Limits,King,91.348968505859375,55.516227722167969,85.436317443847670,,,,,,,,,
"260","70528957",45.853229672700003,-122.742680479000001,,Clark,,,,,,,,,,,,
"261","70569043",45.862280545300003,-122.744411823899995,,Clark,,,,,,,,,,,,
"262","70573673",45.861050208999998,-122.746380689800006,,Clark,,,,,,,,,,,,
"263","70594617",46.978838333299997,-122.369621666699999,,Pierce,,,,,,,,,,,,
"264","70594726",46.977305000000001,-122.370408333300006,,Pierce,,,,,,,,,,,,
"265","70594778",46.977321666700000,-122.370453333300006,,Pierce,,,,,,,,,,,,
"266","70594904",46.977653333299997,-122.370255000000000,,Pierce,,,,,,,,,,,,
"267","70595016",46.914405000000002,-122.275121666700002,,Pierce,,,,,,,,,,,,
"268","70642957",49.307720184200001,-123.062187194700002,,Greater Vancouver,,,,,,,,,,,,
"269","70691696",49.309703755999998,-123.039214611099993,,Greater Vancouver,,,,,,,,,,,,
"270","70820202",45.848977331500002,-122.754411964200003,,Clark,,,,,,,,,,,,
"271","70832153",48.493934000400003,-123.370402394400003,"Saanich, British Columbia",Capital,,,,,,,,,,,,
"272","70855690",47.680208000000000,-122.256595000000004,,King,89.136383056640625,61.219261169433594,85.871231079101562,,,,,,,,,
